date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:30	11105/11105	---MCZ	200	added ('OK')	text/css	etag:W/%222e06-6294e384-660049;gz%22	https://grupoltz.com/wp-content/uploads/elementor/css/post-9688.css?ver=1653924740	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/uploads/elementor/css/post-9688e08b.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:30	13937/13937	---MCZ	200	added ('OK')	application/javascript	etag:W/%226283938d-3671%22	https://tag.navdmp.com/universal.min.js	//Mac/Home/Downloads/vl%20espanhol/tag.navdmp.com/universal.min.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2012%20Jun%202022%2004:59:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	//Mac/Home/Downloads/vl%20espanhol/www.googletagmanager.com/gtm.a5445.delayed	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:31	0/0	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jun%202022%2004:59:31%20GMT	http://launcher.hotmart.com/launcher.js	//Mac/Home/Downloads/vl%20espanhol/launcher.hotmart.com/launcher.b.delayed	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:33	1615/1615	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ece5f271abe67b030f608ec7ca7fb7c3%22	https://cdn.converteai.net/64db969e-a6a4-43e1-9289-61eb9a49cd6c/players/623b8f0e34cf0a000a50ca4f/player.js	//Mac/Home/Downloads/vl%20espanhol/cdn.converteai.net/64db969e-a6a4-43e1-9289-61eb9a49cd6c/players/623b8f0e34cf0a000a50ca4f/player.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:34	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:34%20GMT	https://bio-portal.online/vsl-vr-b-hg/e	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/e.e.delayed	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:35	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-6294e28f-60104a;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/animations/animations.min3ab2.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:35	4965/4965	---M-Z	200	added ('OK')	application/x-javascript	etag:%221365-61e6ed74-600b42;gz%22	https://grupoltz.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.5.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min9d52.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:36	4960/4960	---M-Z	200	added ('OK')	application/x-javascript	etag:%221360-6294e28f-62013b;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min3ab2.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:36	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	//Mac/Home/Downloads/vl%20espanhol/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:36	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-60f716cd-600333;gz%22	https://grupoltz.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:36	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-60749236-600331;gz%22	https://grupoltz.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:37	14277/14277	---M-Z	200	added ('OK')	application/x-javascript	etag:%2237c5-6294e28f-6200fc;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/js/frontend-modules.min3ab2.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:37	20293/20293	---M-Z	200	added ('OK')	application/x-javascript	etag:%224f45-61e6ed74-600b8f;gz%22	https://grupoltz.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.5.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor-pro/assets/js/frontend.min9d52.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:38	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fa6-6294e28f-601043;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:38	20715/20715	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250eb-628dcd89-60037a;gz%22	https://grupoltz.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-includes/js/jquery/ui/core.min0028.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:38	139153/139153	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221f91-6294e28f-601030;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:39	2578/2578	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a12-6294e28f-60103c;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min3ab2.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:39	10682/10682	---M-Z	200	added ('OK')	application/x-javascript	etag:%2229ba-6294e28f-60106a;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.9.0	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.mind227.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:39	37741/37741	---M-Z	200	added ('OK')	application/x-javascript	etag:%22936d-6294e28f-62013f;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/js/frontend.min3ab2.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:40	129182/129182	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f89e-61e6ed74-600b64;gz%22	https://grupoltz.com/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js?ver=3.5.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min9d52.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:40	43392/43392	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a980-6294e28f-62011f;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/js/preloaded-modules.min3ab2.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:41	6595/6595	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219c3-61e6ed74-6009ee;gz%22	https://grupoltz.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.5.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min9d52.js	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:44	271657/271657	---M--	200	added ('OK')	image/jpeg	etag:%2242529-6238f564-6a0300;;;%22	https://grupoltz.com/wp-content/uploads/2022/03/money-background.jpg	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/uploads/2022/03/money-background.jpg	(from https://grupoltz.com/wp-content/uploads/elementor/css/post-9688.css?ver=1653924740)
01:59:45	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:43%20GMT	https://bio-portal.online/vsl-vr-b-hg/Trident/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/Trident/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:45	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:43%20GMT	https://bio-portal.online/vsl-vr-b-hg/Edge/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/Edge/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:45	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:43%20GMT	https://bio-portal.online/vsl-vr-b-hg/Gecko/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/Gecko/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:45	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:45%20GMT	https://bio-portal.online/vsl-vr-b-hg/Firefox/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/Firefox/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:46	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:46%20GMT	https://bio-portal.online/vsl-vr-b-hg/Version/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/Version/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:46	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:46%20GMT	https://bio-portal.online/vsl-vr-b-hg/version/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/version/index-2.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
01:59:46	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:46%20GMT	https://bio-portal.online/vsl-vr-b-hg/-negative.svg	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/-negative.svg	(from https://grupoltz.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.5)
01:59:47	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:47%20GMT	https://bio-portal.online/vsl-vr-b-hg/OPR/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/OPR/index.html	(from https://grupoltz.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.5)
01:59:47	17286/17286	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2004:59:47%20GMT	https://bio-portal.online/vsl-vr-b-hg/document.location	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/document.location	(from https://grupoltz.com/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js?ver=3.5.1)
